RegionID,SizeRank,RegionName,RegionType,StateName,1/31/1996,2/29/1996,3/31/1996,4/30/1996,5/31/1996,6/30/1996,7/31/1996,8/31/1996,9/30/1996,10/31/1996,11/30/1996,12/31/1996,1/31/1997,2/28/1997,3/31/1997,4/30/1997,5/31/1997,6/30/1997,7/31/1997,8/31/1997,9/30/1997,10/31/1997,11/30/1997,12/31/1997,1/31/1998,2/28/1998,3/31/1998,4/30/1998,5/31/1998,6/30/1998,7/31/1998,8/31/1998,9/30/1998,10/31/1998,11/30/1998,12/31/1998,1/31/1999,2/28/1999,3/31/1999,4/30/1999,5/31/1999,6/30/1999,7/31/1999,8/31/1999,9/30/1999,10/31/1999,11/30/1999,12/31/1999,1/31/2000,2/29/2000,3/31/2000,4/30/2000,5/31/2000,6/30/2000,7/31/2000,8/31/2000,9/30/2000,10/31/2000,11/30/2000,12/31/2000,1/31/2001,2/28/2001,3/31/2001,4/30/2001,5/31/2001,6/30/2001,7/31/2001,8/31/2001,9/30/2001,10/31/2001,11/30/2001,12/31/2001,1/31/2002,2/28/2002,3/31/2002,4/30/2002,5/31/2002,6/30/2002,7/31/2002,8/31/2002,9/30/2002,10/31/2002,11/30/2002,12/31/2002,1/31/2003,2/28/2003,3/31/2003,4/30/2003,5/31/2003,6/30/2003,7/31/2003,8/31/2003,9/30/2003,10/31/2003,11/30/2003,12/31/2003,1/31/2004,2/29/2004,3/31/2004,4/30/2004,5/31/2004,6/30/2004,7/31/2004,8/31/2004,9/30/2004,10/31/2004,11/30/2004,12/31/2004,1/31/2005,2/28/2005,3/31/2005,4/30/2005,5/31/2005,6/30/2005,7/31/2005,8/31/2005,9/30/2005,10/31/2005,11/30/2005,12/31/2005,1/31/2006,2/28/2006,3/31/2006,4/30/2006,5/31/2006,6/30/2006,7/31/2006,8/31/2006,9/30/2006,10/31/2006,11/30/2006,12/31/2006,1/31/2007,2/28/2007,3/31/2007,4/30/2007,5/31/2007,6/30/2007,7/31/2007,8/31/2007,9/30/2007,10/31/2007,11/30/2007,12/31/2007,1/31/2008,2/29/2008,3/31/2008,4/30/2008,5/31/2008,6/30/2008,7/31/2008,8/31/2008,9/30/2008,10/31/2008,11/30/2008,12/31/2008,1/31/2009,2/28/2009,3/31/2009,4/30/2009,5/31/2009,6/30/2009,7/31/2009,8/31/2009,9/30/2009,10/31/2009,11/30/2009,12/31/2009,1/31/2010,2/28/2010,3/31/2010,4/30/2010,5/31/2010,6/30/2010,7/31/2010,8/31/2010,9/30/2010,10/31/2010,11/30/2010,12/31/2010,1/31/2011,2/28/2011,3/31/2011,4/30/2011,5/31/2011,6/30/2011,7/31/2011,8/31/2011,9/30/2011,10/31/2011,11/30/2011,12/31/2011,1/31/2012,2/29/2012,3/31/2012,4/30/2012,5/31/2012,6/30/2012,7/31/2012,8/31/2012,9/30/2012,10/31/2012,11/30/2012,12/31/2012,1/31/2013,2/28/2013,3/31/2013,4/30/2013,5/31/2013,6/30/2013,7/31/2013,8/31/2013,9/30/2013,10/31/2013,11/30/2013,12/31/2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/31/2014,6/30/2014,7/31/2014,8/31/2014,9/30/2014,10/31/2014,11/30/2014,12/31/2014,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020
9,0,California,State,CA,163427,163201,163062,162790,162615,162481,162406,162411,162460,162636,162839,163118,163161,163269,163458,163938,164507,165105,165837,166616,167485,168268,169178,170213,171647,173235,174759,176059,177233,178449,179550,180748,182052,183430,184698,185776,187044,188386,189793,191063,192388,193954,195614,197089,198414,199968,201850,203926,205949,207883,209868,211997,214313,216720,219205,221857,224601,227256,229900,232571,235138,237801,240583,243522,246161,248489,250552,252578,254648,256819,258968,261129,263324,265696,268140,270782,273613,276925,280677,284655,288562,292505,296688,301003,305148,308946,312754,316578,320537,323956,327714,331859,336695,341530,346714,351885,357837,364179,370929,377840,385588,394366,403015,411075,418740,426391,433616,440985,447804,455173,462347,469958,476648,482858,489172,495723,502504,508930,514162,518814,522680,525951,529063,531377,533943,535284,535770,535422,533948,532210,530692,529205,527715,525702,523471,521167,517688,513921,509336,504513,498779,492077,485280,477696,470121,460712,450002,438324,426825,416194,405541,395543,386448,378316,369340,360576,352449,347359,342890,338836,335190,332610,331339,330494,329931,329981,331542,333559,335097,334986,335877,337143,338948,338611,337456,335908,334695,333050,330778,328812,327132,325695,323506,321279,318231,316421,315012,313636,312016,310218,309511,308369,307682,307178,307406,308160,309753,311726,314084,317056,320484,324709,328607,333744,338804,344793,351402,358771,366317,373935,381448,388736,395200,400816,405991,410477,415016,418756,420979,422077,422734,423604,424939,425673,426947,428307,430742,432548,434483,436667,439921,442658,445514,447731,449853,452398,455335,458560,461108,464627,467736,470433,472171,474876,477484,480242,482650,485682,488476,491508,494090,496333,498796,501471,504655,507554,510853,514335,517319,520018,522977,526259,530174,534288,538592,542902,546544,549553,552516,555524,558023,559171,559399,559546,559798,559352,558638,557230,556340,557065,559746,563033,564783,565216,565425,566259,567409,569741,572862,576594,580304,583543,585655,587691,591769,598111,605587,613126,620823,628535
54,1,Texas,State,TX,97365,97390,97421,97547,97688,97804,97895,98009,98160,98334,98549,98782,98801,98796,98778,98908,98995,99122,99251,99428,99609,99857,100081,100319,100791,101244,101690,101813,102018,102226,102525,102752,102967,103033,103066,103071,103291,103777,104444,105186,105874,106556,107209,107766,108227,108764,109353,109945,110331,110610,110779,110965,111002,111037,111031,111214,111457,111704,111995,112313,112531,112521,112356,112258,112344,112450,112577,112624,112728,112850,112938,113023,113132,113369,113714,114131,114553,115038,115514,116006,116423,116806,117200,117585,117860,117946,117930,117969,118101,118337,118560,118835,119071,119380,119653,119968,120535,121562,122906,124038,124878,125368,125960,126502,127165,127770,128355,128931,129552,129954,130202,130379,130634,131026,131351,131689,131969,132152,132452,132683,133043,133444,133896,134332,134847,135376,135917,136385,136885,137541,138101,138675,139074,139368,139572,139887,140245,140659,140956,141422,141869,142263,142526,142755,142556,142161,141609,141267,140883,140513,140224,139823,139330,138793,138227,137679,137387,137371,137440,137323,137168,137030,137000,136921,136870,136801,137010,137179,137275,137260,137280,137380,137410,137298,136840,136320,135795,135373,134865,134443,134037,133517,132951,132384,131925,131503,131322,131297,131392,131415,131291,131125,131099,131335,131680,131978,132299,132651,133076,133456,133746,134027,134477,135062,135747,136383,137132,137967,138823,139689,140577,141510,142539,143623,144698,145648,146510,147399,148186,148948,149742,150655,151527,152468,153406,154375,155339,156342,157357,158364,159442,160543,161569,162579,163570,164530,165413,166352,167208,168102,169040,169950,170834,171690,172719,173689,174742,175663,176645,177533,178639,179813,180874,181930,182852,183829,184655,185509,186277,187070,187921,188894,189855,190711,191481,192299,193297,194425,195539,196609,197558,198510,199254,200063,200761,201659,202610,203541,204188,204696,205322,206039,206792,207422,208006,208244,208502,208719,209167,209615,210297,211095,211941,212850,213926,215218,216773,218695,220821,223085
43,2,New York,State,NY,120867,120591,120428,120180,120080,120013,119933,119856,119812,119819,119855,119936,119889,120106,120339,120642,120741,120871,121123,121365,121601,121765,122118,122492,123239,123665,124071,124135,124341,124548,124632,124958,125370,126030,126411,126805,126992,127419,127878,128604,129390,130230,131345,132239,133123,133743,134437,135062,135672,136538,137544,138677,139672,140643,141380,142059,142705,143479,144434,145446,146486,147324,148157,148968,149874,150794,151766,152776,153779,154865,155985,157160,158353,159530,160586,161677,162785,163995,165243,166532,167805,169043,170347,171766,173178,174643,176360,177968,179495,180835,182192,183768,185471,187234,188710,190081,191551,193036,194384,195796,197377,199192,201053,202781,204513,206155,208041,209837,211679,213532,215304,217197,219053,220869,222713,224584,226587,228557,230356,232184,233773,235247,236564,237759,238799,239818,240673,241397,241803,242101,242274,242440,242544,242680,242861,242908,243071,243115,243247,243326,243339,243545,243760,243762,243707,243359,243035,242462,241717,240836,239800,238802,237749,236440,235039,233758,232548,231473,230380,229419,228485,227563,226766,226097,225714,225595,225591,225603,225458,225424,225340,225548,225671,225977,226019,225742,225153,224323,223602,222837,222353,221843,221390,220600,219792,218791,218019,217458,217088,216830,216422,216078,215684,215212,214835,214554,214525,214573,214683,214841,215016,215110,215310,215572,215874,216349,216740,217330,217855,218508,219146,219702,220228,220871,221523,222116,222691,223234,223874,224327,224699,224964,225144,225365,225609,225925,226281,226744,227169,227453,227612,227878,228261,228754,229334,229913,230509,230964,231342,231579,231865,232495,233307,234078,234699,235172,235729,236377,237075,237923,238814,239916,240894,241633,242263,243144,244297,245645,246767,247759,248670,249605,250668,251629,252792,253930,255101,256147,257191,258327,259590,260874,262095,263073,263854,264571,265370,266216,267166,268066,269129,270030,270646,270995,271130,271234,271461,271979,272709,273504,274300,275308,276324,277580,279239,281331,283862,286780,289940,293216
14,3,Florida,State,FL,103529,103634,103756,103985,104205,104447,104677,104884,105029,105183,105353,105562,105596,105689,105791,106112,106411,106679,106938,107212,107530,107816,108149,108482,109194,109787,110317,110437,110630,110781,110993,111296,111767,112321,112726,113044,113148,113374,113647,114125,114611,115270,115957,116572,117009,117390,117906,118471,119068,119672,120352,121084,121778,122413,123019,123637,124331,125071,125868,126690,127543,128430,129329,130244,131184,132144,133180,134249,135378,136518,137641,138737,139810,140836,141847,142875,143948,145058,146162,147323,148457,149659,150883,152281,153737,155282,156805,158330,159791,161165,162493,163827,165338,167026,168855,170636,172467,174330,176267,178187,180333,182735,185403,188312,191321,194375,197421,200685,204168,207875,211783,215972,220468,225373,230735,236214,241661,246796,251766,256517,260934,264863,268749,272587,275999,278559,280079,280967,281084,280909,280457,279576,278539,277294,275787,273758,271379,268500,265297,261947,258713,255404,251884,248227,244214,240067,235536,231212,226601,222395,218072,213758,209478,205105,200587,196230,192145,188491,184986,181428,178262,175317,173081,171060,169235,167744,166879,166137,165529,164821,164349,163904,163392,162618,161513,160199,158788,157280,155620,154043,152432,150934,149358,147934,146576,145507,144531,143858,143341,143050,142859,142712,142679,142705,143001,143483,144061,144721,145502,146393,147335,148347,149430,150690,152183,153869,155599,157352,159292,161245,163350,165517,167736,169721,171604,173312,174904,176255,177574,178699,179738,180614,181481,182104,182815,183803,184943,186081,187131,188292,189446,190608,191815,193116,194352,195763,197228,198695,199986,201426,202958,204598,206004,207421,208758,210243,211811,213311,214670,215915,217341,218718,220179,221519,222930,224456,225972,227484,228848,230325,231770,233231,234582,235926,236926,238063,239446,241036,242690,244133,245532,246729,247875,248908,249945,251052,252088,252803,253219,253611,254159,255011,256053,256734,257227,257700,258370,259019,259937,261192,262611,264018,265393,266762,268174,270102,272382,274912,277488,280248
21,4,Illinois,State,IL,141951,141693,141367,140982,140453,140137,139701,140163,140876,142362,143587,144519,144834,144827,144957,144830,144975,144772,144511,142449,139872,136044,133006,130762,129883,129707,129602,129559,129494,129427,129714,130915,132643,134930,136881,138373,139054,139434,139823,140338,140773,141528,142339,143126,143650,144289,145072,145916,146934,147952,148976,149886,150774,151626,152426,153345,154331,155341,156383,157475,158521,159435,160364,161355,162480,163550,164527,165451,166455,167533,168625,169581,170477,171414,172522,173475,174477,175427,176612,177748,178830,179866,180803,181913,182991,184205,185261,186437,187423,188364,189251,190365,191657,192919,194110,195160,196402,197593,198825,200121,201524,203117,204591,205983,207134,208377,209781,211330,212691,214061,215406,216882,218350,219875,221416,222909,224589,226224,227732,229105,230372,231683,232782,233850,234729,235504,236081,236711,237148,237518,237742,238082,238566,239141,238997,238869,238072,237854,237051,236707,235886,235369,234656,233798,232916,230688,229922,227487,226740,224003,222719,219985,218343,215689,213500,210439,207332,204994,202418,200587,198113,196245,194753,193534,191946,190689,189576,189415,188843,188545,187192,187100,186035,186125,184027,182941,181186,180236,178355,176753,175154,173933,172795,170938,169649,167817,167401,166334,165811,164077,163202,161772,161035,159532,159199,158745,158768,158360,157760,157212,156704,157054,157603,158193,158860,159746,160359,161277,161877,163070,164172,165755,167151,168707,169509,170540,171144,172048,172435,172603,173018,173734,174477,174893,175406,175687,176241,176619,176976,177078,177567,178321,179075,179292,179579,179822,180158,180394,180679,181129,181719,182748,183638,184398,184917,185572,186330,187060,187689,188395,189259,190192,191187,191950,192838,193666,194467,195100,195649,196341,197104,197941,198708,199534,200365,201032,201437,201850,202428,203166,203684,204089,204463,204794,205149,205385,205534,205833,206186,206721,207264,207762,208091,208200,207931,207626,207431,207583,207939,208190,208609,209014,209467,210034,210983,212268,214003,215944,217983,220012
47,5,Pennsylvania,State,PA,96758,96697,96635,96536,96443,96402,96371,96415,96447,96534,96636,96771,96871,96978,97139,97358,97629,97879,98154,98289,98453,98554,98753,98976,99290,99581,99809,99943,100057,100149,100247,100494,100785,101130,101308,101407,101468,101600,101782,102023,102249,102519,102793,103043,103306,103548,103869,104252,104685,105195,105694,106181,106657,107100,107536,107911,108302,108720,109214,109742,110264,110729,111219,111721,112172,112608,113046,113534,114016,114494,115044,115581,116154,116722,117343,117983,118612,119229,119872,120643,121429,122264,122988,123776,124578,125402,126211,127019,127916,128873,129799,130667,131556,132509,133410,134275,135095,136204,137300,138433,139567,140736,142050,143270,144584,145783,147156,148536,150022,151183,152378,153618,154961,156364,157777,159362,160880,162351,163713,165040,166223,167301,168288,169278,170275,171289,172111,172785,173302,173793,174174,174524,174939,175412,175927,176274,176578,176725,177024,177285,177494,177622,177769,177892,177843,177686,177335,176996,176534,176058,175374,174667,174029,173476,172846,172104,171321,170737,170258,169832,169375,168996,168752,168528,168391,168349,168509,168732,169043,169245,169448,169591,169660,169607,169334,168907,168231,167427,166513,165666,164869,164119,163380,162549,161741,160927,160307,159887,159673,159479,159237,158940,158609,158287,158001,157839,157777,157709,157603,157521,157460,157489,157550,157696,157889,158098,158319,158617,158936,159338,159759,160124,160464,160712,161015,161233,161476,161702,161899,161964,161999,162154,162395,162591,162706,162826,162976,163192,163364,163506,163794,164219,164757,165030,165205,165394,165729,166116,166463,166725,167143,167705,168074,168303,168389,168832,169313,169883,170320,170790,171330,172047,172541,172986,173411,174131,174906,175656,176386,177121,177927,178772,179529,180256,181100,181985,183222,184302,185409,186092,186712,187211,187774,188269,188874,189491,190236,190978,191503,192007,192774,193703,194553,195132,195595,196057,196492,197037,197647,198344,199123,200069,200933,202033,203384,205167,207172,209393,211801,214344
44,6,Ohio,State,OH,92652,92765,92914,93225,93548,93843,94103,94393,94692,94998,95300,95612,95913,96216,96500,96790,97090,97426,97787,98098,98397,98670,98963,99269,99637,100043,100434,100765,101084,101422,101813,102212,102619,103066,103489,103844,104105,104384,104726,105077,105365,105630,105910,106244,106592,106953,107330,107794,108331,108865,109307,109770,110313,110900,111398,111845,112285,112712,113151,113571,113988,114363,114769,115161,115524,115830,116170,116529,116885,117223,117533,117823,118093,118365,118664,118959,119262,119556,119864,120148,120438,120747,121112,121489,121859,122221,122555,122915,123273,123676,124083,124558,125025,125482,125845,126204,126525,126893,127272,127637,128003,128338,128695,128976,129269,129548,129877,130202,130594,130977,131360,131700,131995,132295,132562,132870,133150,133449,133770,134074,134306,134445,134569,134691,134807,134880,134949,134969,134906,134834,134745,134653,134562,134518,134348,134115,133814,133551,133223,132901,132675,132418,132016,131607,131234,130844,130495,130061,129653,129185,128812,128398,127906,127276,126763,126139,125432,124584,123828,123262,122805,122368,121908,121471,121129,120952,120773,120684,120592,120680,120623,120561,120385,120182,119753,119255,118687,118117,117492,116823,116264,115681,115188,114543,113934,113361,113012,112734,112471,112156,111888,111679,111415,111128,110944,110863,110752,110578,110441,110412,110470,110530,110568,110638,110839,111130,111372,111640,111973,112410,112803,113191,113485,113886,114234,114528,114554,114512,114471,114540,114675,114889,115144,115300,115510,115659,115965,116346,116905,117503,118043,118497,118968,119413,119856,120278,120682,121077,121446,121781,122192,122598,123120,123597,124032,124451,124916,125455,126025,126611,127254,127959,128698,129382,130010,130663,131319,131998,132603,133356,134149,135030,135784,136490,136981,137646,138377,139370,140291,141132,141923,142527,143071,143578,144227,144956,145768,146569,147325,147888,148544,149243,150038,150655,151310,151877,152260,152770,153416,154274,155046,155916,156848,157887,158996,160417,161947,163676,165648,167635
30,7,Michigan,State,MI,89050,89371,89676,90332,90979,91640,92239,92792,93304,93811,94369,94975,95615,96200,96813,97355,97930,98422,99003,99662,100385,101109,101751,102316,102891,103501,104097,104661,105206,105827,106457,107062,107675,108307,108941,109590,110097,110736,111347,112112,112830,113644,114431,115222,115968,116693,117425,118162,119031,119800,120627,121380,122219,123001,123854,124653,125401,126113,126901,127719,128443,129073,129670,130277,130897,131437,131961,132501,133117,133686,134187,134637,135152,135683,136235,136688,137032,137376,137671,138012,138288,138617,138965,139338,139679,140080,140358,140755,141216,141776,142292,142764,143273,143816,144309,144779,145213,145622,146104,146505,146909,147287,147741,148161,148537,148906,149282,149652,150043,150362,150719,151071,151481,151777,152005,152234,152510,152731,152911,153058,153197,153330,153362,153289,153088,152784,152531,152157,151789,151256,150701,149997,149263,148593,147953,147368,146546,145782,144782,144060,142959,141836,140525,139528,138577,137403,135956,134179,132482,130762,129056,127078,125328,123881,122494,120732,118552,116513,114544,112862,111201,109636,108434,107356,106507,105466,104690,104026,103787,103430,103234,103127,103175,103222,102837,102292,101484,100769,99980,99361,98659,98123,97443,96748,96019,95334,94853,94658,94681,94732,94724,94717,94760,94779,95044,95352,95815,96309,96952,97556,98134,98848,99649,100404,101180,102171,103313,104520,105673,106834,108089,109427,110842,112102,113291,114514,115760,116829,117639,118326,119061,119883,120587,121145,121569,122056,122597,123096,123610,124174,124899,125551,126076,126540,127049,127663,128181,128689,129290,130069,130794,131470,131960,132728,133544,134463,135378,136238,137298,138363,139346,140215,141069,141978,143014,144043,145178,146167,147010,147870,148733,149662,150648,151618,152835,154072,155284,156331,157389,158597,159726,160723,161486,162203,162850,163701,164392,165104,165585,166214,167245,168510,169604,170103,170478,170817,171353,171840,172555,173263,174187,175181,175949,176612,177609,179274,181292,183504,185751,188119
16,8,Georgia,State,GA,103498,103656,103817,104165,104514,104884,105227,105573,105912,106282,106666,107085,107426,107817,108235,108733,109201,109625,110087,110594,111150,111682,112198,112720,113449,114111,114699,115066,115544,116091,116679,117250,117799,118369,118970,119532,119984,120468,121051,121770,122456,123157,123884,124554,125237,125899,126580,127232,127856,128594,129387,130266,131085,131897,132678,133515,134353,135223,136102,137070,138059,138881,139600,140222,140929,141595,142267,142930,143571,144179,144745,145280,145777,146319,146822,147341,147819,148308,148759,149143,149532,149934,150328,150652,151003,151356,151767,152091,152375,152638,152928,153263,153588,153894,154222,154624,155028,155449,155856,156318,156759,157160,157570,158037,158541,159082,159585,160050,160460,160858,161281,161796,162415,163081,163696,164254,164843,165424,166072,166638,167283,167887,168464,168918,169327,169795,170327,170854,171318,171736,172134,172598,173049,173475,173878,174208,174425,174476,174411,174282,174009,173696,173314,172985,172369,171586,170573,169729,168889,167980,166893,165674,164501,163195,161611,159666,157871,156180,154610,152732,150896,149213,147952,146889,145924,144904,144118,143564,142992,142367,141773,141527,141349,140987,140064,138821,137304,135992,134604,133457,132221,131203,129894,128451,126801,125343,124238,123590,123312,123064,122771,122126,121648,121154,121238,121437,121849,122276,122794,123130,123307,123525,124121,124958,126009,127111,128179,129178,130265,131451,132651,133989,135403,136855,138079,139355,140436,141502,142363,143235,143994,144702,145457,146165,146918,147608,148325,148971,149607,150213,150806,151480,152298,153179,153945,154693,155409,156089,156755,157416,158244,159056,160001,160930,161801,162512,163145,163783,164322,165028,165807,166749,167536,168394,169249,170157,171066,172108,173275,174424,175772,177050,178439,179761,181167,182506,183677,184880,186168,187540,188871,190129,191309,192465,193575,194597,195512,196327,197337,198347,199405,200251,201097,201981,202821,203546,203957,204426,205059,206020,206959,207954,208972,210211,211571,213077,214759,216711,219078,221640
36,9,North Carolina,State,NC,110763,110979,111172,111573,111967,112413,112886,113348,113751,114231,114766,115339,115898,116445,117041,117598,118122,118551,118937,119414,119988,120435,120804,121135,121559,121926,122258,122602,123084,123625,124183,124621,125032,125504,125955,126385,126695,127096,127481,127953,128313,128663,129036,129409,129808,130158,130587,131042,131498,132037,132581,133174,133719,134259,134749,135207,135655,136125,136672,137229,137826,138244,138624,138927,139264,139585,139855,140191,140513,140863,141089,141281,141442,141638,141863,142044,142276,142488,142766,142978,143190,143380,143589,143801,144031,144267,144522,144755,144995,145195,145423,145689,145965,146221,146479,146793,147180,147569,147943,148304,148626,148988,149317,149658,150050,150490,151004,151513,151939,152439,152898,153495,154073,154777,155520,156305,157074,157898,158706,159516,160304,161086,161900,162705,163567,164385,165249,166097,166942,167708,168402,169080,169801,170432,171078,171687,172341,172983,173531,174026,174393,174666,174928,175150,175322,175345,175284,175137,174909,174538,174084,173655,173189,172682,171990,171234,170423,169840,169250,168535,167651,166809,166139,165415,164805,164300,163998,163663,163357,162898,162504,162271,162145,161919,161411,160834,160172,159559,158893,158283,157591,156906,156100,155159,154314,153649,153165,152656,152248,151720,151225,150736,150382,150119,149940,149964,149890,149760,149634,149692,149745,149850,149976,150098,150262,150426,150761,151109,151581,152081,152602,153125,153603,154148,154614,155189,155664,156156,156460,156712,156929,157124,157292,157377,157571,157794,158188,158577,159069,159560,160187,160722,161194,161634,162197,162852,163417,163923,164337,164715,165141,165657,166136,166743,167482,168402,169288,170125,171001,171860,172770,173709,174604,175429,176339,177315,178253,179059,179767,180567,181442,182518,183546,184620,185692,186824,187882,188814,189823,190898,192094,193192,194212,195026,195939,196837,197870,198737,199599,200502,201405,202370,203226,204050,204841,205674,206488,207216,207924,208825,209868,211005,212202,213446,214846,216420,218168,220079,222111,224369
