dates,California,Texas,New York,Florida,Illinois,Pennsylvania,Ohio,Michigan,Georgia,North Carolina,New Jersey,Virginia,Washington,Massachusetts,Indiana,Arizona,Tennessee,Missouri,Maryland,Wisconsin,Minnesota,Colorado,Alabama,South Carolina,Louisiana,Kentucky,Oregon,Oklahoma,Connecticut,Iowa,Mississippi,Arkansas,Kansas,Utah,Nevada,New Mexico,West Virginia,Nebraska,Idaho,Hawaii,Maine,New Hampshire,Rhode Island,Montana,Delaware,South Dakota,Alaska,North Dakota,Vermont,District of Columbia,Wyoming
1/31/1996,163427,97365,120867,103529,141951,96758,92652,89050,103498,110763,167766,121337,141078,160297,109758,109427,89813,83080,154379,96362,105293,143732,84887,98351,84625,75597,130348,64576,158937,79474,73792,70438,77720,160917,162991,,62041,84385,124361,266550,98850,110570,128908,,132761,87047,126354,,110032,191367,
2/29/1996,163201,97390,120591,103634,141693,96697,92765,89371,103656,110979,167447,121284,141086,160297,109738,109739,89989,83286,154380,96500,105117,144204,84992,98460,84946,75753,130826,64673,158734,79639,73791,70471,77870,161049,162950,,62046,84712,124171,265448,98500,110305,129015,,132703,87452,126845,,110012,190385,
3/31/1996,163062,97421,120428,103756,141367,96635,92914,89676,103817,111172,167215,121293,141114,160423,109294,110097,90205,83448,154382,96604,105043,144593,85076,98499,85187,75882,131244,64828,158980,79791,73866,70549,78028,161324,163098,,62049,84931,124096,264469,98285,110125,129017,,132646,87413,127274,,109922,189541,
4/30/1996,162790,97547,120180,103985,140982,96536,93225,90332,104165,111573,166778,121274,141184,160642,108919,110748,90624,83769,154439,96900,104965,145381,85196,98703,85691,76176,132085,65086,159148,80091,73959,70661,78295,161802,163243,,62061,85403,123912,262425,97795,109855,129037,,132505,87472,128169,,109776,188129,
5/31/1996,162615,97688,120080,104205,140453,96443,93548,90979,104514,111967,166438,121230,141320,160880,108717,111359,91064,84030,154584,97250,105041,146070,85263,98855,85985,76434,132904,65356,159273,80319,74110,70791,78473,162442,163518,,62066,85736,123782,260077,97431,109906,128877,,132629,87259,128821,,109591,187036,
6/30/1996,162481,97804,120013,104447,140137,96402,93843,91640,104884,112413,166133,121174,141662,161128,108885,111910,91515,84268,154703,97739,105271,146755,85367,99112,86252,76696,133733,65557,159335,80524,74243,70909,78645,162954,163684,,62077,86124,123619,257446,97061,110144,128609,,132903,87281,129427,,109314,186241,
7/31/1996,162406,97895,119933,104677,139701,96371,94103,92239,105227,112886,165916,121131,142061,161500,108981,112418,91980,84480,154766,98228,105523,147418,85512,99264,86418,76957,134565,65759,159411,80677,74428,71064,78786,163441,163946,,62081,86514,123472,254864,96798,110502,128362,,133377,87313,129902,,109012,185549,
8/31/1996,162411,98009,119856,104884,140163,96415,94393,92792,105573,113348,165856,121199,142545,162004,108755,112883,92432,84713,154732,98699,105909,148104,85727,99455,86730,77231,135359,65931,159647,80852,74569,71236,78992,163829,164426,,62061,86921,123438,253124,96618,110785,128290,,133763,87337,130274,,108787,184923,
9/30/1996,162460,98160,119812,105029,140876,96447,94692,93304,105912,113751,165897,121318,142943,162486,108614,113329,92822,84975,154790,99100,106248,148763,85856,99546,87016,77498,136115,66089,159515,81010,74694,71401,79159,164257,164944,,61990,87285,123444,251789,96547,111035,128475,,134243,87394,130512,,108711,184544,
10/31/1996,162636,98334,119819,105183,142362,96534,94998,93811,106282,114231,165999,121492,143429,163069,107718,113776,93176,85303,154884,99505,106668,149388,85982,99759,87401,77733,136951,66234,159372,81281,74974,71585,79390,164669,165430,,61952,87686,123515,250498,96601,111314,128660,,134685,87419,130553,,108851,184005,
